feature_names,PC1,PC2,PC3,PC4,PC5,PC6
indie pop,0.12367648292389814,0.3842334935086054,-0.2847398200241872,0.4190776582587399,0.12983784088386194,0.0
art pop,0.17493228015081333,0.2712839531849392,0.18809020761966888,0.14520892984617742,0.43550570308008824,0.4771908109523226
escape room,0.0,0.0,0.0,0.0,0.11754587739991809,0.0
alternative r&b,-0.13702973841844135,0.0,0.0,-0.1982481351379625,0.1720163200181553,0.12386774857666327
pop,-0.14369615081353942,0.0,0.0,0.23688602537911208,0.1509469028298714,-0.27882590803430796
dance pop,0.0,0.0,0.0,0.0,0.0,-0.11047257215835365
alt z,0.0,0.0,0.0,0.21781634764200872,0.0,-0.15772249493111687
indietronica,0.0,0.11399078943787629,0.39794842058682306,0.0,0.12634622183343927,0.0
indie soul,0.0,0.0,0.0,-0.11699668727223962,0.13784692992305925,0.12417952866240628
metropopolis,0.0,0.0,0.1366709367293122,0.16445456833844938,0.13585422466391547,0.0
bubblegrunge,0.0,0.17345051496987643,-0.16138115965671893,0.0,-0.2778048650835579,0.22497986063835743
pov: indie,0.0,0.12442641488431276,0.0,0.1460334223442433,0.0,0.0
neo-synthpop,0.0,0.0,0.15774742412904785,0.0,0.0,0.0
small room,0.0,0.12212232163804232,-0.17851738723165753,0.0,-0.13915987349792777,0.0
indie rock,0.48216786749453394,0.23535442031149467,0.23072995252300973,-0.13447437085350297,0.0,0.0
dream pop,0.0,0.0,0.0,0.0,0.0,0.12731594801988258
alternative rock,0.21794957874852378,0.0,0.2615712221462295,0.0,-0.30773789169411186,0.0
melancholia,0.13530993123126472,0.0,0.0,0.0,0.0,0.0
chamber pop,0.481238817055962,0.11435229425115892,0.0,-0.236829071290174,0.23050422310106525,-0.21329681527819663
singer-songwriter,0.307540199214911,-0.318130448261,-0.19287738021020012,0.0,0.2943005484420867,0.0
shoegaze,0.0,0.0,0.0,0.0,0.0,0.10669203149660578
permanent wave,0.15892768543868407,-0.22625528756349791,0.1699658427468989,0.0,-0.13747487139499992,0.1131488058135668
modern rock,0.0,0.0,0.30299767828767027,0.0,-0.15482798125992356,-0.31084296380220855
rap,-0.11120162464849191,0.0,0.0,-0.270742153691635,0.11797048980748873,0.0
hip hop,-0.11001783346851687,0.0,0.0,-0.28023853372442936,0.11485674707544402,0.0
conscious hip hop,0.0,0.0,0.0,-0.13518335807735143,0.0,0.0
rock,0.13133078163380865,-0.34078708290110665,0.18694491488158285,0.25837553086866116,-0.15814934989373253,0.0
countrygaze,0.0,0.13154016021655957,-0.26743965729814084,0.0,-0.22226217046421118,0.0
lilith,0.10104551108501893,0.0,0.0,0.0,0.0,0.0
mellow gold,0.0,-0.2289596354300218,0.0,0.13724710053321373,0.0,0.12377004544369241
slacker rock,0.0,0.0,0.0,0.0,-0.12454258595284251,0.0
stomp and holler,0.0,0.0,0.0,0.0,0.0,-0.16942187999191505
modern alternative rock,0.0,0.0,0.0,0.0,0.0,-0.11502152112563585
alternative country,0.11359051878403112,0.0,-0.11733927844659352,0.0,0.0,-0.10603853028293497
folk,0.13444331647448604,-0.17722011628666523,-0.15525785357448033,0.0,0.10863229471327414,-0.1069874842611959
new americana,0.0,0.0,-0.10720539331363017,0.0,0.0,-0.1571501978535307
indie folk,0.0,0.0,0.0,0.0,0.0,-0.23524599800991056
r&b,0.0,0.0,0.0,-0.15251041882818242,0.0,0.0
classic rock,0.0,-0.25843725676156115,0.0,0.15948098274429667,0.0,0.14920971522717355
folk rock,0.0,-0.1784353468890423,0.0,0.0,0.0,0.0
soft rock,0.0,-0.20198941463501502,0.0,0.1241932754004159,0.0,0.12072384141132066
album rock,0.0,-0.12756644381187646,0.0,0.0,0.0,0.0
