feature_names,PC1,PC2,PC3,PC4,PC5,PC6,cluster
indie pop,0.12367648291471267,0.3842334917237931,-0.28473983490416105,0.4190773142589277,0.12983669062579573,-0.013405621079088896,2
modern indie folk,-0.003616011032154796,0.015238975635741865,-0.024307582958177382,0.004293809634386809,-0.026148843792019177,-0.002229263108619575,0
hyperpop,-0.007725947606067458,0.00483957668927122,0.005792078022421863,0.006196955141594808,0.013178143754289884,0.012722078485302287,0
hypnagogic pop,-0.008686764939634344,0.004955363776756806,0.00885689520365374,-0.0004993845095050531,0.01352245347437886,0.023015793352231827,0
art pop,0.17493228015059895,0.2712839485713092,0.18809014533042998,0.14520879633770067,0.435503901287575,0.47719278019910305,1
escape room,-0.0568044236371088,0.03580661684226112,0.06068189804745686,0.0028573524458127574,0.11754806980748186,0.06979638639816436,0
alternative r&b,-0.13702973839915478,-0.014833921717271081,0.08756937075480047,-0.19824784512099738,0.17201755340136668,0.12385672962747712,0
pop,-0.1436961508086133,0.04022014779055939,0.09304758316290201,0.2368858518341303,0.15094610175464865,-0.2788415887179359,2
social media pop,-0.0013468570678021449,0.00018774077514963696,0.00037874803999957845,-0.0003994059112591127,0.0014284865446119374,-8.773325805311498e-05,0
chillwave,-0.012799296911818867,0.02312817540745561,0.04818962162277601,0.02786446043948958,0.0178020437219198,0.02931542070778402,0
dance pop,-0.06600863764781828,-0.0026711344817502685,0.05630030335124301,0.07658454392568576,0.05143026647584827,-0.11047038197318612,2
alt z,-0.058429974299238366,0.07333192962913436,-0.030318371149952034,0.21781677574934666,0.04773987183682846,-0.15773044118936877,2
indietronica,0.06530273191565467,0.11399079270626633,0.3979484615802532,0.08938326447979862,0.12634712914573604,-0.08523705028675244,2
indie soul,-0.09424549860671556,0.0040928580780558235,0.09757016901744883,-0.11699644760867339,0.13784879301240263,0.12418562971706847,0
metropopolis,-0.03740575142758612,0.05296498951626869,0.13667106277890828,0.1644553730469174,0.1358579628638469,-0.035589186617975825,2
uk pop,-0.0369676881361572,0.026597738840058296,-0.0011982855147211447,0.08948202253305292,0.03246882497191598,-0.06907100570371838,2
candy pop,-0.011661745560922825,0.003430787337753756,0.007227786285166428,0.026806953569877424,0.010829742162529908,-0.009075891134593027,0
trip hop,-0.008495055001652537,0.0039234372278725265,0.030337107937460518,-0.003435000589199332,0.02101823247507788,0.03949817947707949,0
